,platform,hashtags,message,email,url,name,date,comment_count,like_count
0,facebook,#tradewar,Picture in China. What a terrific idea!,the_rejected_firmin@aol.com,www.fire.net,Firmin Cadwalader,2023-03-15,444,5467
1,instagram,#tradewar,@auron1952 Have you seen this?!,gwenyth1979@aol.com,www.book.gov/LasVegas.html,Gwenyth Pattakos,2024-01-27,59,101
2,telegram,#badidea,Another Tuesday. Another unpopular paper,rachem@yahoo.com,www.shin.edu,Râché Morgan,2024-10-10,20,23
3,telegram,#badmonkey,Another Monday. Another cowardly house,anhunb@aol.com,www.wang.net,Anhun Bakirdzis,2023-10-09,2,158
4,instagram,#15minrice,@the_corrupt_so-yi Have you seen this?!,hildal@aol.com,www.burcy.gov,Hilda Lóng,2024-10-21,26,148
5,twitter,#edmonton,Another Friday. Another trendy car,lenef@aol.com,www.erikbrys.net/Portland.html,Léne Fodd,2023-01-26,43,4666
6,twitter,#edmonton,Another Friday. Another cheap forest fire,jeong-jam@lai.com,www.accident.net/business/house.html,Jeong-ja Makioka,2023-09-28,144,3716
7,youtube,#badmonkey,Forest fire in Taiwan. What a great idea!,alfat@yahoo.com,www.picture.com,Alfa Tang,2024-09-12,14,175
8,instagram,#badidea,Business in Paris. What a brilliant idea!,basaamt32@outlook.com,www.flawedaccident.org/paper/error.html,Basaam Tathouris,2023-12-27,28,203
9,instagram,#chickenwar,@mistakecelebrity Have you seen this?!,hermesl@siagyo.edu,www.forestfire.net,Hermes Lever,2023-01-14,13,137
10,telegram,#badmonkey,Wildfire in Tokyo. What a bad idea!,xium@gmail.com,www.ullalouvaris.org,Xiu Mei Baalbaki,2024-03-01,7,2980
11,telegram,#chickenwar,Wildfire in Washington dc. What a terrible idea!,ubaidah.rho@aol.com,www.popkin.edu/sadwildfire.html,Ubaidah Rho,2023-11-27,393,21
12,telegram,#badmonkey,Package in Winnepeg. What a great idea!,the_brilliant_pawl@outlook.com,www.paper.net/unluckystory.html,Pawl Kasai,2024-09-12,1159,4843
13,telegram,#badmonkey,Too close for comfort @planemanager,wyn90@aol.com,www.car.org,Wyn Kurata,2023-07-17,56,76
14,twitter,#15minrice,Another Tuesday. Another powerful surprise,blethyn.everard@jon.com,www.house.edu,Blethyn Everard,2024-10-25,85,57
15,telegram,#immigration,Another Tuesday. Another broken poem,xueyouh@aol.com,www.package.net,Xueyou Heo,2023-10-10,34,5556
16,telegram,#canada,Too close for comfort @amazinggawain,violateh@huang.org,www.accident.org/house/error.html,Violâte Heywood,2024-12-18,59,3598
17,youtube,#15minrice,@go-eun61 Have you seen this?!,weizhe42@wealthybully.org,www.sugawara.com/amazingpicture.html,Weizhe Voelker,2023-12-14,139,3073
18,telegram,#sadnews,Another Saturday. Another outdated forest fire,shoi-minge72@imperfectgirl.org,www.martis.gov,Shoi-ming Economakis,2023-12-17,52,214
19,youtube,#badmonkey,Error in New mexico. What a brilliant idea!,qi_the_story@outlook.com,www.gislenus.org/Mexico.html,Qi Ront,2024-11-11,737,106
20,twitter,#chickenwar,Another Friday. Another dangerous error,notchyou@gmail.com,www.respectedheatwave.org,Chyou Bivin,2024-10-17,48,3863
21,telegram,#fireisland,Another Thursday. Another new tree,tomikod16@forestfire.org,www.flawedpoet.org,Tomiko Dèng,2024-07-28,61,650
22,facebook,#edmonton,Too close for comfort @morwennaw64,ji-youngm28@gmail.com,www.plane.org/Mexico.html,Ji-young Mavrokordatos,2024-07-25,21,9770
23,youtube,#tradewar,@elaines68 Have you seen this?!,traianosg@gmail.com,www.fire.org/accident/mistake.html,Traianos Grund,2023-07-29,857,4380
24,facebook,#bigoil,Suitcase in Los angeles. What a horrible idea!,tabeam95@hotmail.com,www.error.gov/theUS.html,Tabea Minavand,2023-05-14,35,145
25,instagram,#sadnews,Book in Calgary. What a great idea!,sulayman.kwan@fire.net,www.picture.org,Sulayman Kwan,2023-07-11,55,8040
26,instagram,#badmonkey,Too close for comfort @linqins76,saito.polymeropoulos@sadbusiness.com,www.importedwoman.net,Saito Polymeropoulos,2023-11-18,32,630
27,telegram,#chickenwar,Too close for comfort @corey92,gwawra@aol.com,www.mihdizadih.org/incredibleheatwave.html,Gwawr Austen,2024-03-26,318,2154
28,instagram,#15minrice,Another Friday. Another dirty business,nansl97@aol.com,www.leahsirtis.org,Nans Loeb,2024-07-28,60,2898
29,facebook,#tradewar,@altedna Have you seen this?!,shun8@gmail.com,www.cheapform.net/incrediblebusiness.html,Shun Sok,2024-05-23,20,62
30,instagram,#tradewar,Package in New york. What a brilliant idea!,cheapcrystyn@outdatedwoman.org,www.business.net/theUS.html,Crystyn Harada,2023-03-07,46,207
31,facebook,#sanctuary,Too close for comfort @hyo-rin46,nikola.liao@gmail.com,www.engel.org,Nikola Liào,2023-04-30,4,92
32,facebook,#chickenwar,Too close for comfort @geekygwendolyn,the_abusive_amineh@yahoo.com,www.imperfectfather.net,Amineh Kanasani,2024-05-21,13,171
33,telegram,#canada,@nikodemost22 Have you seen this?!,victorenei@outlook.com,www.tree.org/SoCal.html,Victorène Ingram,2024-07-22,19,2106
34,telegram,#badidea,Another Thursday. Another wealthy house,anarawd_the_house@yahoo.com,www.oldpolitician.net/car/business.html,Anarawd Percy,2023-03-09,525,155
35,facebook,#canada,Truck in Michigan. What a terrible idea!,ghafoor.heydon@outlook.com,www.story.net/Boston.html,Ghafoor Heydon,2024-03-16,67,151
36,instagram,#badmonkey,Another Sunday. Another bad package,geoffreyg@outlook.com,www.profitabledocument.net/goodwater.html,Geoffrey Geddings,2024-09-23,39,8008
37,facebook,#immigration,@dong-hoonj73 Have you seen this?!,alberta.weltman@aol.com,www.corruptaccident.com/Germany.html,Alberta Weltman,2023-04-12,24,118
38,facebook,#oilers,Too close for comfort @muaath1957,yan.nahm@aol.com,www.picture.net/London.html,Yan Nahm,2024-12-11,1209,135
39,twitter,#15minrice,Another Wednesday. Another outdated story,akurok@outlook.com,www.hyun.net/Gaza.html,Akuro Koga,2023-01-30,929,1142
40,telegram,#canada,@constant1951 Have you seen this?!,dagobert.kasuse@aol.com,www.package.org,Dagobert Kasuse,2024-05-04,53,160
41,telegram,#badmonkey,Heat wave in Edmonton. What a great idea!,leanders79@hotmail.com,www.wilhelms.org/rejectedpackage.html,Leander Savakis,2023-11-14,277,188
42,facebook,#immigration,Surprise in Japan. What a brilliant idea!,cynthiap14@outlook.com,www.corrupttree.com/sadcar.html,Cynthia Perry,2024-09-14,60,3022
